Test_Case_ID,Test_Case_Name,User_Story_ID,Acceptance_Criteria,Priority,Test_Category,Preconditions,Test_Steps,Expected_Results,UI_Elements,Test_Data,Post_Conditions,Notes
TC-US-002-UI-001,Policy Creation Form Dropdown Population,US-002,AC3: Add policy with specific parameters,Low,UI_Elements,Customer is selected in 3222 interface,"1. Click Add Policy button|2. Verify LOB dropdown is populated|3. Verify SBU dropdown is populated|4. Verify PolicyType dropdown is populated|5. Verify TargetMarket dropdown is populated|6. Verify all dropdowns show correct options","Policy creation form loads; All dropdowns are populated with valid options; No empty dropdowns","LOB dropdown; SBU dropdown; PolicyType dropdown; TargetMarket dropdown","","Form ready for input","Test dropdown data loading"
TC-US-002-NAV-001,Navigate to Maintain Policy Screen,US-002,AC4: Select location from maintain policy screen,High,Navigation,Policy is created successfully,"1. From policy list, select newly created policy|2. Click Maintain Policy button|3. Verify Maintain Policy screen loads|4. Verify policy details display correctly","Policy selection works; Maintain Policy screen loads; Policy details display: LOB=057, SBU=SP, PolicyType=AH, TargetMarket=VIC","policy list; maintain policy button; policy details panel","policy: newly_created_policy","Maintain Policy screen is active","Test navigation to policy maintenance"
TC-US-002-POS-003,Add Location Using F9 Key,US-002,AC5: Select location and press F9 to add location,High,Positive,Maintain Policy screen is open,"1. On Maintain Policy screen, click Locations tab|2. Verify Locations section loads|3. Press F9 key|4. Verify Add Location dialog opens","Locations section loads; F9 key press detected; Add Location dialog opens","locations tab; F9 key handler; add location dialog","","Location creation dialog is ready","Test F9 key functionality for adding locations"
TC-US-002-UI-002,Locations Section Display and Controls,US-002,AC5: Select location from maintain policy screen,Low,UI_Elements,Maintain Policy screen is open,"1. Click Locations tab|2. Verify locations grid displays|3. Verify F9 button is visible|4. Verify existing locations list (if any)|5. Verify grid columns: Location ID, Address, City, Province","Locations section loads; Grid displays correctly; F9 button visible; Columns display properly","locations grid; F9 button; location columns","","Locations section ready for use","Test locations UI layout"
TC-US-002-POS-004,Select OOC Country Code from Dropdown,US-002,AC6: Select OOC code from dropdown,High,Positive,Add Location dialog is open,"1. In Add Location dialog, click Country dropdown|2. Verify OOC option is available|3. Select OOC from dropdown|4. Verify address field prepopulates: 'Out of Canada - A&H only'|5. Verify city field prepopulates: 'Out of Canada - A&H only'|6. Verify province field becomes disabled/not required|7. Verify postal code field becomes disabled/not required","Country dropdown populated; OOC option available; Address prepopulates correctly; City prepopulates correctly; Province field disabled; Postal code field disabled","country dropdown; address field; city field; province field; postal code field","country: OOC","OOC location partially configured","Test OOC country code selection and prepopulation"
TC-US-002-NEG-003,Attempt to Select Invalid Country Code,US-002,AC6: Select OOC code from dropdown,Medium,Negative,Add Location dialog is open,"1. Click Country dropdown|2. Attempt to select non-OOC country|3. Verify OOC is the only valid option for this policy type","Country dropdown shows limited options; Only OOC is selectable for A&H VIC policies","country dropdown","country: INVALID_COUNTRY","Location creation blocked","Test country code restrictions"
TC-US-002-POS-005,Verify Zone Fields Are Blank for OOC,US-002,AC7: Zone fields are blank for OOC,High,Positive,OOC country code selected,"1. Verify Cresta Zone field is blank|2. Verify Windstorm Zone field is blank|3. Verify Flood Zone field is blank|4. Verify all zone fields are disabled","Cresta Zone field is blank; Windstorm Zone field is blank; Flood Zone field is blank; All zone fields disabled","cresta zone field; windstorm zone field; flood zone field","","OOC location zones configured correctly","Test zone field behavior for OOC locations"
TC-US-002-UI-003,Province and Postal Code Field States,US-002,AC7: Province and postal code fields not required,Low,UI_Elements,OOC country code selected,"1. Verify province field is disabled|2. Verify postal code field is disabled|3. Verify field labels show 'Not Required'|4. Attempt to enter values in disabled fields","Province field disabled; Postal code field disabled; Labels indicate not required; Input blocked in disabled fields","province field; postal code field","","Fields properly disabled for OOC","Test field state management"
TC-US-002-POS-006,Select Accident and Sickness Module,US-002,AC8: Select Accident and Sickness Module,High,Positive,OOC location created,"1. On Maintain Policy screen, click Modules tab|2. Verify Modules section loads|3. Select Accident and Sickness module|4. Verify module is selected","Modules section loads; Accident and Sickness module available; Module selection works","modules tab; accident and sickness module checkbox","","Accident and Sickness module active","Test module selection"
TC-US-002-NEG-004,Attempt to Select Invalid Module,US-002,AC8: Select Accident and Sickness Module,Medium,Negative,OOC location created,"1. Click Modules tab|2. Attempt to select non-A&H module|3. Verify only Accident and Sickness is available","Modules list filtered; Only A&H modules available for VIC policies","modules list","module: INVALID_MODULE","Invalid module selection blocked","Test module restrictions"
TC-US-002-POS-007,Add Coverages Under Accident and Sickness Module,US-002,AC9: Add coverages under module,High,Positive,Accident and Sickness module selected,"1. Expand Accident and Sickness module|2. Click Add Coverage button|3. Select coverage types from dropdown|4. Enter coverage limits and deductibles|5. Save coverages","Module expands; Coverage form loads; Coverage types available; Limits/deductibles accepted; Coverages save successfully","coverage dropdown; limit fields; deductible fields; save button","coverage: STANDARD_AH_COVERAGE; limit: 100000; deductible: 5000","Coverages added to module","Test coverage addition workflow"
TC-US-002-NEG-005,Add Coverage with Invalid Limits,US-002,AC9: Add coverages under module,Medium,Negative,Accident and Sickness module selected,"1. Expand Accident and Sickness module|2. Click Add Coverage button|3. Enter limit less than deductible|4. Attempt to save coverage","Coverage form loads; Validation error displays: 'Limit must be greater than deductible'; Save blocked","limit field; deductible field; save button","limit: 1000; deductible: 5000","Coverage not saved","Test coverage validation rules"
TC-US-002-POS-008,Quote and Bind Policy Without Tax,US-002,AC10: Quote and bind without tax,High,Positive,Policy configured with OOC location and coverages,"1. Click Quote button|2. Verify quote generates successfully|3. Verify no tax calculated for OOC location|4. Click Bind button|5. Confirm policy binding|6. Verify policy number generated","Quote generates; No tax applied; Bind succeeds; Policy number created","quote button; bind button; tax calculation area","tax_expected: 0","Policy is bound and active","Test tax exemption for OOC locations"
TC-US-002-NEG-006,Attempt to Bind Incomplete Policy,US-002,AC10: Quote and bind without tax,Medium,Negative,Policy missing required coverages,"1. Click Quote button|2. Verify quote fails with validation errors|3. Verify Bind button is disabled","Quote fails; Validation errors display; Bind button disabled","quote button; bind button; validation messages","","Policy remains in quote status","Test binding validation"
TC-US-002-BND-001,Maximum Location Name Length,US-002,AC6: Address prepopulation,Low,Boundary,OOC country code selected,"1. Verify address field prepopulates with full text|2. Verify text fits within field limits|3. Verify no truncation occurs","Address field contains full prepopulated text; Text displays completely","address field","address_length: 50_chars","Address displays correctly","Test field length boundaries"
TC-US-002-BND-002,Minimum Coverage Limits,US-002,AC9: Add coverages under module,Low,Boundary,Accident and Sickness module selected,"1. Add coverage with minimum valid limit ($1)|2. Add coverage with minimum valid deductible ($0)|3. Save coverage","Minimum values accepted; Coverage saves successfully","limit field; deductible field","limit: 1; deductible: 0","Coverage saved with minimum values","Test minimum value boundaries"
TC-US-002-BND-003,Maximum Coverage Limits,US-002,AC9: Add coverages under module,Low,Boundary,Accident and Sickness module selected,"1. Add coverage with maximum valid limit ($999999999)|2. Add coverage with maximum valid deductible ($999999999)|3. Save coverage","Maximum values accepted; Coverage saves successfully","limit field; deductible field","limit: 999999999; deductible: 999999999","Coverage saved with maximum values","Test maximum value boundaries"
TC-US-002-UI-004,Keyboard Shortcuts and Hotkeys,US-002,AC5: Press F9 to add location,Low,UI_Elements,Maintain Policy screen open,"1. Press F9 key|2. Verify add location dialog opens|3. Press Escape key|4. Verify dialog closes|5. Press Enter on buttons","F9 key works; Escape key works; Enter key works on buttons","F9 key; escape key; enter key","","Keyboard navigation functional","Test keyboard accessibility"
TC-US-002-UI-005,Form Validation Messages Display,US-002,AC3: Add policy with specific parameters,Low,UI_Elements,Policy creation form open,"1. Leave required fields empty|2. Click Save button|3. Verify error messages appear|4. Verify messages are clear and specific|5. Verify messages disappear when fields filled","Error messages display; Messages are user-friendly; Messages clear on correction","validation messages; required field indicators","","Form validation working","Test error message display"
TC-US-002-NAV-002,Breadcrumb Navigation,US-002,AC4: Select location from maintain policy screen,Low,Navigation,Deep in policy maintenance,"1. Verify breadcrumb shows: Home > 3222 > Customer > Policy > Maintain|2. Click on Customer breadcrumb|3. Verify returns to customer level|4. Click on Policy breadcrumb|5. Verify returns to policy level","Breadcrumbs display correctly; Navigation works from breadcrumbs","breadcrumb navigation","","Navigation maintains context","Test breadcrumb functionality"
TC-US-002-NAV-003,Back Button Navigation,US-002,AC4: Select location from maintain policy screen,Low,Navigation,On maintain policy screen,"1. Click browser back button|2. Verify returns to previous screen|3. Click browser forward button|4. Verify returns to maintain policy screen","Browser navigation works; Context preserved","browser back button; browser forward button","","Navigation state maintained","Test browser navigation"
TC-US-002-FV-001,Coverage Limit and Deductible Validation,US-002,AC9: Add coverages under module,Medium,Form_Validation,Adding coverage,"1. Enter limit value|2. Enter deductible value higher than limit|3. Verify validation error|4. Correct deductible to be less than limit|5. Verify validation passes","Cross-field validation works; Error displays for invalid relationship; Validation passes when corrected","limit field; deductible field; validation logic","limit: 10000; deductible: 5000","Coverage validation successful","Test cross-field validation"
TC-US-002-FV-002,Real-time Field Validation,US-002,AC9: Add coverages under module,Low,Form_Validation,Adding coverage,"1. Enter invalid characters in numeric field|2. Verify input rejected|3. Enter valid numbers|4. Verify input accepted|5. Enter value outside range|6. Verify warning displays","Real-time validation works; Invalid input blocked; Valid input accepted; Range warnings display","numeric input fields; validation feedback","","Field validation working","Test real-time validation"
TC-US-002-DH-001,Policy Search and Filter,US-002,AC4: Select location from maintain policy screen,Medium,Data_Handling,Multiple policies exist,"1. Use policy search field|2. Enter policy number|3. Verify results filter correctly|4. Clear search|5. Verify all policies display","Search works; Filtering accurate; Clear function works","search field; filter controls; clear button","search_term: POLICY_001","Search results display correctly","Test search and filter functionality"
TC-US-002-DH-002,Policy Data Sorting,US-002,AC4: Select location from maintain policy screen,Low,Data_Handling,Policy list displayed,"1. Click on Policy Number column header|2. Verify ascending sort|3. Click again|4. Verify descending sort|5. Click on Effective Date column|6. Verify date sorting works","Column sorting works; Ascending/descending toggles; Date sorting accurate","column headers; sort indicators","","Data sorting functional","Test column sorting"
TC-US-002-DH-003,Policy Data Pagination,US-002,AC4: Select location from maintain policy screen,Low,Data_Handling,Many policies exist,"1. Verify pagination controls visible|2. Click next page|3. Verify page changes|4. Click last page|5. Verify last page displays|6. Change items per page|7. Verify page size changes","Pagination works; Page navigation functional; Page size changes work","pagination controls; page size selector","","Pagination functional","Test pagination controls"
TC-US-002-WF-001,Multi-step Policy Creation Workflow,US-002,AC3: Add policy with specific parameters,High,Workflow,Starting policy creation,"1. Complete policy header information|2. Click Next/Continue|3. Verify moves to locations step|4. Add location|5. Click Next/Continue|6. Verify moves to modules step|7. Add module|8. Click Next/Continue|9. Verify moves to coverages step|10. Add coverages|11. Click Finish|12. Verify policy created","Workflow steps sequential; Progress maintained; Back navigation works; Policy created successfully","workflow steps; next buttons; back buttons; finish button","","Policy creation workflow complete","Test complete policy creation workflow"
TC-US-002-WF-002,Save Progress in Workflow,US-002,AC3: Add policy with specific parameters,Medium,Workflow,Partway through policy creation,"1. Complete first few steps|2. Click Save Progress button|3. Verify draft saved|4. Navigate away|5. Return to draft|6. Verify progress restored","Save progress works; Draft persists; Progress restores correctly","save progress button; draft list","","Workflow state preserved","Test progress saving"
TC-US-002-CL-001,Conditional Field Display for OOC,US-002,AC7: Province and postal code fields not required,Medium,Conditional_Logic,OOC country selected,"1. Select OOC country|2. Verify province field hides/disables|3. Verify postal code field hides/disables|4. Select different country|5. Verify province field shows/enables|6. Verify postal code field shows/enables","Conditional display works; Fields show/hide based on country selection","country dropdown; province field; postal code field","country: OOC then CANADA","Field states change correctly","Test conditional field display"
TC-US-002-CL-002,Module Availability Based on Policy Type,US-002,AC8: Select Accident and Sickness Module,Medium,Conditional_Logic,Policy type AH selected,"1. Verify only A&H modules available|2. Change policy type to different value|3. Verify module list changes|4. Change back to AH|5. Verify A&H modules return","Module filtering works; List updates based on policy type","policy type dropdown; module list","policy_type: AH then OTHER","Module list conditional","Test conditional module availability"
TC-US-002-SM-001,Loading States During Policy Save,US-002,AC3: Add policy with specific parameters,Low,State_Management,Saving policy,"1. Click Save button|2. Verify loading indicator appears|3. Verify form becomes disabled|4. Wait for save to complete|5. Verify loading indicator disappears|6. Verify form re-enables","Loading states display correctly; Form disabled during save; States clear after completion","save button; loading indicator; form controls","","Save state management working","Test loading state handling"
TC-US-002-SM-001,Error States and Recovery,US-002,AC3: Add policy with specific parameters,Medium,State_Management,Save operation fails,"1. Cause save to fail (network error)|2. Verify error state displays|3. Verify retry option available|4. Click retry|5. Verify recovery works|6. Verify normal state restored","Error states display; Recovery options work; Normal state restored after fix","error messages; retry button; form state","","Error recovery functional","Test error state handling"</content>
<parameter name="filePath">/workspaces/ZIPsystem/OptimusCore/4_Designstudio/ui_test_cases.csv
